,1-ZCRm,2-Energym,3-EnergyEntropym,4-SpectralCentroidm,5-SpectralSpreadm,6-SpectralEntropym,7-SpectralFluxm,8-SpectralRolloffm,9-MFCCs1m,10-MFCCs2m,11-MFCCs3m,12-MFCCs4m,13-MFCCs5m,14-MFCCs6m,15-MFCCs7m,16-MFCCs8m,17-MFCCs9m,18-MFCCs10m,19-MFCCs11m,20-MFCCs12m,21-MFCCs13m,22-ChromaVector1m,23-ChromaVector2m,24-ChromaVector3m,25-ChromaVector4m,26-ChromaVector5m,27-ChromaVector6m,28-ChromaVector7m,29-ChromaVector8m,30-ChromaVector9m,31-ChromaVector10m,32-ChromaVector11m,33-ChromaVector12m,34-ChromaDeviationm,35-ZCRstd,36-Energystd,37-EnergyEntropystd,38-SpectralCentroidstd,39-SpectralSpreadstd,40-SpectralEntropystd,41-SpectralFluxstd,42-SpectralRolloffstd,43-MFCCs1std,44-MFCCs2std,45-MFCCs3std,46-MFCCs4std,47-MFCCs5std,48-MFCCs6std,49-MFCCs7std,50-MFCCs8std,51-MFCCs9std,52-MFCCs10std,53-MFCCs11std,54-MFCCs12std,55-MFCCs13std,56-ChromaVector1std,57-ChromaVector2std,58-ChromaVector3std,59-ChromaVector4std,60-ChromaVector5std,61-ChromaVector6std,62-ChromaVector7std,63-ChromaVector8std,64-ChromaVector9std,65-ChromaVector10std,66-ChromaVector11std,67-ChromaVector12std,68-ChromaDeviationstd,69-BPM,70-BPMconf,71-BPMessentia,72-bpm_histogram_first_peak_bpm,73-bpm_histogram_first_peak_weight,74-bpm_histogram_second_peak_bpm,75-bpm_histogram_second_peak_spread,76-bpm_histogram_second_peak_weight,77-danceability,78-beats_loudness.mean,79-beats_loudness.stdev,80-onset_rate,81-beats_loudness_band_ratio.mean1,82-beats_loudness_band_ratio.mean2,83-beats_loudness_band_ratio.mean3,84-beats_loudness_band_ratio.mean4,85-beats_loudness_band_ratio.mean5,86-beats_loudness_band_ratio.mean6,87-beats_loudness_band_ratio.stdev1,88-beats_loudness_band_ratio.stdev2,89-beats_loudness_band_ratio.stdev3,90-beats_loudness_band_ratio.stdev4,91-beats_loudness_band_ratio.stdev5,92-beats_loudness_band_ratio.stdev6,class
10,0.148836081,0.16246412,3.235884992,0.2720178,0.254915132,1.395388797,0.003908924,0.266779005,-20.64730792,0.933865695,-0.212335835,0.430639243,0.284623497,0.193001526,0.124420953,0.135361349,-0.046327477,0.057568852,0.101858142,0.037152498,0.004572657,0.010068645,0.005968547,0.037680269,0.00849319,0.012103727,0.006669539,0.08950667,0.003518239,0.006084508,0.006470745,0.030176669,0.004345087,0.031997264,0.046341708,0.04917045,0.058522994,0.039601816,0.020195927,0.405760533,0.002327455,0.124346916,0.605394467,0.374518901,0.311433199,0.283829622,0.224722067,0.224218588,0.223322024,0.228506775,0.236690087,0.240267383,0.217004923,0.189091335,0.166363633,0.009522285,0.006696359,0.02361553,0.007716994,0.010312692,0.006214627,0.062809455,0.004180194,0.005834358,0.00632555,0.024834966,0.004805957,0.0160908,133.3333333,0.165228758,126.959137,126,0.382470131,133,0,0.003968254,1.091034055,0.053327326,0.022326401,3.624627352,0.466633499,0.075338341,0.168115541,0.175315529,0.078001887,0.074208483,0.349739969,0.102265835,0.197854668,0.177673474,0.070824049,0.070948765,BigRoom
11,0.119853759,0.108783426,3.233381937,0.23887858,0.243150088,1.123507566,0.004835116,0.187555959,-21.68257239,1.402192781,-0.10907789,0.276316583,-0.084994006,0.037771289,-0.212146279,0.047638119,0.153382876,0.206455085,-0.071194306,-0.023223261,-0.110242786,0.011683808,0.005980685,0.033694762,0.010802045,0.012762338,0.007324859,0.048728611,0.001179694,0.007129641,0.032867725,0.030886578,0.007714446,0.02740632,0.03123684,0.027670653,0.064978219,0.031233441,0.018846063,0.290529693,0.002709317,0.070802883,0.558333089,0.308685396,0.309469911,0.267418984,0.249461864,0.228390301,0.245673766,0.25534186,0.226804331,0.262181502,0.224650173,0.194182886,0.181286835,0.00970053,0.007528179,0.02394333,0.009688169,0.010798599,0.006385021,0.036975237,0.001598225,0.007144681,0.024268745,0.022485188,0.008350729,0.01157309,133.3333333,0.136129696,127.9811859,129,0.386554599,123,0.142857194,0.047430828,0.932619452,0.038199659,0.024249075,3.841271877,0.346334904,0.178384781,0.200363368,0.160178795,0.09963651,0.057000652,0.256774336,0.164291188,0.169686094,0.130254716,0.091716059,0.050315186,BigRoom
12,0.0786656,0.168778023,3.143503851,0.219148784,0.253430635,0.600278524,0.014335225,0.109030382,-22.15889459,2.025157148,0.123234859,0.328484339,0.05409039,0.111085119,0.044051833,0.052052055,-0.037765129,0.015773699,-0.000387056,0.041673068,-0.018846982,0.01106047,0.002744659,0.13153136,0.007368237,0.014789725,0.006103379,0.110799691,0.002306771,0.005487778,0.009701443,0.026731259,0.003020839,0.058338224,0.04445504,0.070047663,0.119976992,0.059221659,0.031087564,0.354344622,0.015092908,0.10186799,1.072096509,0.469176057,0.411525895,0.303638973,0.260261572,0.23607245,0.234016519,0.225266469,0.24029791,0.226670091,0.225217286,0.215993796,0.200298912,0.01318259,0.004349802,0.120283658,0.008580077,0.014997991,0.008070047,0.082767473,0.003895511,0.007775296,0.010361044,0.026951105,0.004063281,0.026901413,120,0.143115942,123.9089508,123,0.32905978,117,0.199999988,0.016260162,1.395950556,0.089340933,0.04790831,4.866166592,0.754327595,0.094846494,0.07719399,0.048844691,0.027379297,0.02958015,0.294511259,0.150335565,0.133625999,0.099290296,0.055296715,0.050863452,BigRoom
13,0.138321192,0.14215569,3.185305248,0.27371832,0.244810543,1.331760153,0.006857455,0.256525005,-21.86679266,0.519717538,0.007929726,0.176192275,-0.055915415,0.213001276,0.038436868,-0.055759021,0.082903019,0.155078844,0.053891067,0.070031388,0.008858502,0.005417857,0.003735227,0.171332925,0.004183714,0.007124862,0.003714047,0.037033617,0.003580313,0.003627006,0.006516906,0.016147701,0.002844148,0.05470431,0.042949759,0.034297748,0.073146493,0.046413186,0.023112586,0.365167352,0.005262079,0.109029729,0.597347641,0.54801682,0.410981436,0.334679581,0.302348178,0.295924044,0.281704967,0.274296967,0.258306462,0.251182707,0.247682077,0.221138812,0.217279923,0.007159597,0.004334518,0.085018333,0.006464857,0.007145005,0.003339272,0.041795862,0.004055436,0.003856367,0.007792994,0.01995549,0.003035717,0.02089667,133.3333333,0.104497711,128.1502838,129,0.35042733,123,0.100000024,0.03515625,1.047522902,0.046017539,0.024376344,4.299558163,0.46029833,0.08607018,0.070097595,0.133549184,0.149900109,0.129615679,0.350386202,0.119974211,0.089663394,0.129620329,0.160387367,0.136942714,BigRoom
14,0.101308143,0.126876179,3.165832577,0.230935538,0.232519603,0.985415644,0.006070595,0.179875815,-21.77022546,1.385399728,0.387989983,0.233004181,0.004941393,0.07617223,0.039329599,0.111137143,0.096866839,0.160936976,0.083034476,-0.009759848,0.002987144,0.013393594,0.003481671,0.09931777,0.005288428,0.008294767,0.009442557,0.113490813,0.00148486,0.002577501,0.008306807,0.032010364,0.005947626,0.046090116,0.037324119,0.059044862,0.127205524,0.031043122,0.013443223,0.381387365,0.004621502,0.093591513,0.768163749,0.390909662,0.274530467,0.244767127,0.20841365,0.217043373,0.194236891,0.194218526,0.208989465,0.187005216,0.177270371,0.170936993,0.156570151,0.011989084,0.003383142,0.06173114,0.005173481,0.008946011,0.007388758,0.064097271,0.00165732,0.002429221,0.008741377,0.026694656,0.00579165,0.017759558,133.3333333,0.122876139,130.0086517,129,0.268907607,123,0.25,0.034749035,1.237522244,0.060180582,0.042795096,3.549635172,0.658799231,0.13152352,0.085493505,0.050414018,0.060343832,0.064528227,0.297097981,0.16622965,0.096158616,0.050283525,0.069987215,0.074352004,BigRoom
15,0.13287474,0.08867388,3.166054824,0.261764105,0.245831306,1.166492208,0.005570248,0.230309706,-22.42387136,1.363653649,0.223394684,0.201832584,-0.030849802,-0.030419273,0.012745662,0.055035223,0.041527986,-0.030934118,-0.066902312,-0.046704738,-0.029404063,0.01436128,0.002752132,0.09008162,0.009067512,0.020137553,0.006783665,0.046085064,0.001470954,0.003946858,0.01062675,0.029357244,0.00568985,0.038154022,0.04862879,0.045295729,0.1367306,0.041164935,0.016423052,0.419322398,0.004284866,0.115339418,0.89181451,0.482992962,0.350983848,0.323672787,0.275979657,0.237962567,0.242236353,0.227341323,0.227950729,0.223854156,0.216764326,0.203882415,0.191619406,0.014602228,0.002779525,0.066597618,0.009157761,0.018883488,0.007169281,0.048998397,0.001736225,0.004127381,0.009702314,0.024660633,0.006634579,0.019744435,133.3333333,0.153061224,129.7952271,129,0.299999952,88,0.098591566,0.290909082,1.102717757,0.06474261,0.054809786,3.749614477,0.540503085,0.163499996,0.107020348,0.066426396,0.079064086,0.076929517,0.351534128,0.191617101,0.176149309,0.091686495,0.133763611,0.101481684,BigRoom
16,0.153258637,0.117231629,3.158256171,0.286110098,0.269141308,1.217157093,0.00455902,0.287590828,-21.87943938,1.578028981,0.092512592,0.278572647,0.103647997,-0.044434333,0.05042394,0.140312703,0.16409133,0.056812362,-0.045883799,-0.024619002,-0.025441723,0.017499493,0.006228115,0.084104725,0.008003087,0.010266043,0.008757695,0.068090852,0.001508946,0.004797858,0.010450914,0.027593193,0.005600648,0.034304067,0.056435979,0.068293825,0.169080237,0.039282049,0.010889778,0.483623489,0.004011184,0.153100306,0.916312931,0.41705311,0.295172813,0.263522999,0.239428766,0.221597089,0.227107024,0.219576414,0.216392148,0.226214523,0.228604259,0.207588393,0.191086801,0.01678769,0.007602606,0.051469278,0.008800368,0.009770659,0.008199041,0.055059031,0.001658568,0.004767334,0.009373274,0.021450154,0.007409024,0.017128929,133.3333333,0.191001932,128.0700378,129,0.366533875,123,0,0.011811024,1.21304369,0.087616205,0.065448277,3.84960413,0.671072483,0.120531738,0.081233718,0.065215148,0.032029573,0.069426298,0.33137551,0.162665322,0.111970365,0.093223818,0.040298104,0.081010602,BigRoom
17,0.117975398,0.12339105,3.167430837,0.251667388,0.249425974,1.063649444,0.008892709,0.194370673,-22.1835592,1.174272686,-0.241087752,0.312322209,0.107344835,0.032351279,0.002561899,0.14410774,0.11190534,-0.021930892,0.051142359,0.029274185,-0.014020624,0.010291355,0.004900026,0.11251705,0.008016602,0.008778712,0.005772905,0.04375656,0.004308596,0.006188123,0.014983733,0.027268027,0.004651242,0.042120943,0.046448971,0.05757734,0.096702986,0.042012292,0.020069434,0.440521154,0.007072077,0.117438934,1.018954123,0.503690321,0.359776761,0.342822863,0.307917236,0.244230421,0.259424855,0.276432008,0.252088581,0.271763723,0.250617886,0.224579809,0.186573145,0.012472149,0.005966722,0.075788505,0.008365896,0.009162839,0.005564672,0.049925205,0.004782731,0.008441096,0.015821971,0.021826673,0.005959363,0.020891238,133.3333333,0.11510975,128.0495148,129,0.40487802,123,0.111111045,0.062256809,1.049028873,0.034793135,0.023834826,4.624524593,0.363443375,0.110623293,0.180349678,0.195998386,0.089188159,0.089719929,0.283827364,0.137579978,0.166986302,0.138052464,0.077060528,0.112372681,BigRoom
18,0.110992892,0.1065993,3.174350336,0.242371412,0.251396688,0.970105423,0.008403591,0.196261175,-22.07711195,1.630684366,-0.065033342,0.287217834,0.060735817,0.265642107,0.127802319,0.165507814,0.047623893,0.022642646,-0.008724542,0.084715431,0.010501768,0.009929332,0.003719641,0.085929103,0.00816755,0.018504259,0.009254786,0.088615827,0.001868126,0.004023208,0.008086566,0.03278358,0.003907126,0.040629852,0.063578272,0.047929169,0.113872695,0.060870704,0.023835536,0.553050079,0.008191486,0.159567929,0.956762009,0.512295311,0.405796634,0.330294289,0.27567557,0.265805009,0.264406568,0.241110756,0.22609028,0.219443537,0.20238971,0.204970002,0.195516253,0.011624425,0.004507069,0.074867607,0.009237523,0.018480661,0.008203998,0.076282348,0.002638452,0.004662972,0.008595759,0.032629469,0.004773833,0.022579799,120,0.217165471,123.8581161,123,0.304347813,117,0.399999976,0.024390243,1.177670598,0.053211339,0.018786013,4.66618681,0.46427986,0.091216162,0.15824239,0.120491341,0.074225895,0.123986371,0.276887566,0.103082605,0.156055287,0.111618929,0.066647008,0.098220587,BigRoom
19,0.124278374,0.135686704,3.169699828,0.291247905,0.274961144,1.049956639,0.0065041,0.231703468,-22.04881183,1.329536963,0.138512729,0.19708574,0.271212943,0.18724771,0.142624466,0.11361246,0.075873715,0.064987064,0.053000262,0.053647509,0.046144539,0.005466069,0.002454071,0.188065143,0.005415658,0.011945579,0.004937389,0.060344894,0.001369514,0.002984928,0.005826328,0.022100111,0.002467607,0.059893942,0.04668255,0.049250908,0.099294001,0.041582952,0.016945545,0.401483291,0.006563074,0.134909542,0.800461981,0.41480633,0.408257405,0.287285518,0.257900253,0.229931148,0.251305874,0.225114326,0.224007345,0.211128503,0.211841581,0.208112426,0.208385836,0.00543804,0.002836432,0.079318348,0.005600038,0.010327184,0.004311616,0.062336939,0.00168673,0.003078912,0.006154754,0.021676008,0.003073134,0.016549227,133.3333333,0.20290224,129.7818298,129,0.296296299,123,0.153846145,0.042801555,1.230460644,0.074828111,0.033196859,4.049583912,0.656981766,0.058461364,0.079186186,0.066295639,0.054020882,0.105026618,0.276364207,0.059791621,0.096049808,0.09482678,0.062717974,0.083929837,BigRoom
